varmegye_kod,varmegye,oevk,telepules_kod,telepules,tevk,szavazokor,szavazokor_cim,iranyitoszam,pir,kijelolt,akadalymentes,szavazokor_id,oevk_id
04,BÉKÉS,02,066,Szarvas,02,003,Kossuth u. 17 (Benka Gyula Ált. Isk.),5540,5540,N,I,04-066-003,04-02
04,BÉKÉS,02,066,Szarvas,02,004,Kossuth u.66.(Óvoda),5540,5540,N,I,04-066-004,04-02
04,BÉKÉS,02,066,Szarvas,03,005,Budai N. A. u. 3-5. (Közf.Közp.),5540,5540,N,N,04-066-005,04-02
04,BÉKÉS,02,066,Szarvas,03,006,Damjanich u. 64. (Civil Ház),5540,5540,N,I,04-066-006,04-02
04,BÉKÉS,02,066,Szarvas,04,007,Damjanich u. 116. (Napfény Óvoda),5540,5540,N,I,04-066-007,04-02
04,BÉKÉS,02,066,Szarvas,04,008,Damjanich u.116. (Napfény Óvoda),5540,5540,N,I,04-066-008,04-02
04,BÉKÉS,02,066,Szarvas,05,009,Vajda P. u. 20. (Székely Szakképző),5540,5540,N,I,04-066-009,04-02
04,BÉKÉS,02,066,Szarvas,05,010,Zöldpázsit u.4/1 (Óvoda),5540,5540,N,I,04-066-010,04-02
04,BÉKÉS,02,066,Szarvas,06,011,Bacsó B. u. 13-15 (Óvoda),5540,5540,N,I,04-066-011,04-02
04,BÉKÉS,02,066,Szarvas,06,012,Tessedik u. 24. (Napraforgó Klub),5540,5540,N,I,04-066-012,04-02
04,BÉKÉS,02,066,Szarvas,07,013,Dózsa Gy. u. 24. (Óvoda),5540,5540,N,I,04-066-013,04-02
04,BÉKÉS,02,066,Szarvas,07,014,Dózsa Gy.u.29. (Idősek Klubja),5540,5540,N,I,04-066-014,04-02
04,BÉKÉS,02,066,Szarvas,08,015,Tanya II.Kk.86. (Motyói Id.Klubja),5540,5540,N,I,04-066-015,04-02
04,BÉKÉS,02,066,Szarvas,08,016,Tanya III. kk. 135/1. (Idősek Klubja Sirató),5540,5540,N,I,04-066-016,04-02
04,BÉKÉS,02,066,Szarvas,08,017,Tanya III.Kk.411.(Ezüstszőlői Klub),5540,5540,N,I,04-066-017,04-02
04,BÉKÉS,02,066,Szarvas,08,018,Tanya V.Kk.28. (Középhalmi Ev. Misszió),5540,5540,N,I,04-066-018,04-02
04,BÉKÉS,03,067,Szeghalom,,001,Kossuth u.18. (Idősek otthona),5520,5520,N,I,04-067-001,04-03
04,BÉKÉS,03,067,Szeghalom,,002,Dózsa u. 17-19. (Általános Iskola),5520,5520,N,N,04-067-002,04-03
04,BÉKÉS,03,067,Szeghalom,,003,Tildy Z. u. 17-21. (Általános Iskola),5520,5520,N,N,04-067-003,04-03
04,BÉKÉS,03,067,Szeghalom,,004,Tildy Z. u. 17-21. (Általános Iskola),5520,5520,N,N,04-067-004,04-03
04,BÉKÉS,03,067,Szeghalom,,005,Szabolcs Vezér utca 3. (Sportcsarnok),5520,5520,N,I,04-067-005,04-03
04,BÉKÉS,03,067,Szeghalom,,006,Petőfi Sándor u. 3. (Óvoda),5520,5520,N,N,04-067-006,04-03
04,BÉKÉS,03,067,Szeghalom,,007,Újtelep III. u.15. (Óvoda),5520,5520,N,N,04-067-007,04-03
04,BÉKÉS,03,068,Tarhos,,001,Dózsa utca 2. (Közösségi Ház),5642,5642,N,I,04-068-001,04-03
04,BÉKÉS,01,069,Telekgerendás,,001,Dózsa u. 14.,5675,5675,N,I,04-069-001,04-01
04,BÉKÉS,01,069,Telekgerendás,,002,Ady E. u. 10.,5675,5675,N,I,04-069-002,04-01
04,BÉKÉS,04,070,Tótkomlós,,001,Fő út 8. (Zeneiskola),5940,5940,N,N,04-070-001,04-04
04,BÉKÉS,04,070,Tótkomlós,,002,Bajcsy-Zsilinszky utca 6. (Természet Háza),5940,5940,N,I,04-070-002,04-04
04,BÉKÉS,04,070,Tótkomlós,,003,Aradi út 2. (Evangélikus Óvoda),5940,5940,N,N,04-070-003,04-04
04,BÉKÉS,04,070,Tótkomlós,,004,Bajcsy-Zsilinszky utca 6. (Természet Háza),5940,5940,N,I,04-070-004,04-04
04,BÉKÉS,04,070,Tótkomlós,,005,Erzsébet utca 2. (Magyar Iskola),5940,5940,N,N,04-070-005,04-04
04,BÉKÉS,04,070,Tótkomlós,,006,Pósa Lajos utca 2. (Idősek Klubja),5940,5940,N,N,04-070-006,04-04
04,BÉKÉS,01,071,Újkígyós,,001,Iskola utca 7. (panzió),5661,5661,N,I,04-071-001,04-01
04,BÉKÉS,01,071,Újkígyós,,002,Iskola utca 7. (panzió),5661,5661,N,I,04-071-002,04-01
04,BÉKÉS,01,071,Újkígyós,,003,Arany János utca 43. (önkormányzati konyha),5661,5661,N,I,04-071-003,04-01
04,BÉKÉS,01,071,Újkígyós,,004,Arany János utca 42. (művelődési ház),5661,5661,N,I,04-071-004,04-01
04,BÉKÉS,01,071,Újkígyós,,005,Petőfi utca 45. (általános iskola),5661,5661,N,I,04-071-005,04-01
04,BÉKÉS,01,071,Újkígyós,,006,Petőfi utca 45. (általános iskola),5661,5661,N,I,04-071-006,04-01
