source,target,kozos_hatar_m
N000320,N000404,11383.593
N000320,N000389,10662.807
N000320,N000395,6797.315
N000320,N000351,2330.523
N000321,N000369,1057.696
N000321,N000411,4159.207
N000321,N000380,20.455
N000322,N000906,3409.435
N000322,N000871,5152.761
N000322,N000856,3621.171
N000322,N000365,14192.818
N000322,N000367,7272.564
N000323,N000348,19962.801
N000323,N000383,4906.063
N000323,N000341,1820.89
N000324,N000381,5967.797
N000324,N000355,7402.458
N000324,N000349,9199.412
N000325,N000394,6389.779
N000325,N002367,1940.733
N000325,N000917,768.929
N000326,N000383,8671.455
N000326,N000403,1897.945
N000326,N002350,1334.829
N000327,N000358,42.022
N000327,N000362,1231.118
N000327,N000414,7814.512
N000327,N000337,889.72
N000327,N000412,94.893
N000327,N000343,8895.408
N000327,N000386,5761.884
N000327,N002405,5579.295
N000327,N000399,12649.503
N000327,N000346,18918.633
N000328,N000337,8230.265
N000328,N000412,7635.875
N000328,N000343,14595.628
N000328,N002424,7143.329
N000328,N000386,227.587
N000329,N000395,3899.035
N000329,N000340,5381.327
N000329,N000394,9986.312
N000329,N000346,12867.812
N000330,N000398,2212.371
N000330,N000394,1596.881
N000330,N000400,12271.144
N000330,N000932,3489.588
