plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
szimulalt_recom,KOMÁROM-ESZTERGOM,79874.0,20608.0,36518.0,36.075,63.925,-27.851,False,0.327,0.133,
szimulalt_recom,NÓGRÁD,75778.0,25839.0,25795.0,50.043,49.957,0.085,True,0.2226,1.795,
szimulalt_recom,NÓGRÁD,73105.0,21877.0,27772.0,44.063,55.937,-11.873,False,0.1731,-1.795,
szimulalt_recom,PEST,73447.0,22122.0,28795.0,43.447,56.553,-13.106,False,0.5462,-2.84,
szimulalt_recom,PEST,71347.0,18355.0,37575.0,32.818,67.182,-34.364,False,0.393,-5.618,
szimulalt_recom,PEST,76221.0,22690.0,36088.0,38.603,61.397,-22.794,False,0.4943,0.83,
szimulalt_recom,PEST,76225.0,21261.0,37777.0,36.012,63.988,-27.975,False,0.2581,0.835,
szimulalt_recom,PEST,75202.0,23534.0,29236.0,44.597,55.403,-10.805,False,0.2966,-0.518,
szimulalt_recom,PEST,75977.0,23124.0,29508.0,43.935,56.065,-12.13,False,0.3847,0.507,
szimulalt_recom,PEST,76876.0,21139.0,35523.0,37.307,62.693,-25.386,False,0.3451,1.696,
szimulalt_recom,PEST,74774.0,20281.0,37726.0,34.963,65.037,-30.074,False,0.4907,-1.085,
szimulalt_recom,PEST,73351.0,18257.0,39623.0,31.543,68.457,-36.914,False,0.3325,-2.967,
szimulalt_recom,PEST,76341.0,23139.0,35408.0,39.522,60.478,-20.956,False,0.2995,0.988,
szimulalt_recom,PEST,78007.0,20651.0,39555.0,34.301,65.699,-31.399,False,0.5871,3.192,
szimulalt_recom,PEST,77427.0,23530.0,33183.0,41.49,58.51,-17.021,False,0.2012,2.425,
szimulalt_recom,PEST,74812.0,18559.0,37304.0,33.222,66.778,-33.555,False,0.348,-1.034,
szimulalt_recom,PEST,78307.0,21384.0,36879.0,36.703,63.297,-26.595,False,0.3598,3.589,
szimulalt_recom,SOMOGY,61199.0,18938.0,24378.0,43.721,56.279,-12.559,False,0.1347,1.741,
szimulalt_recom,SOMOGY,61950.0,21392.0,20631.0,50.905,49.095,1.811,True,0.2224,2.989,
szimulalt_recom,SOMOGY,58956.0,15917.0,26918.0,37.159,62.841,-25.682,False,0.3542,-1.988,
szimulalt_recom,SOMOGY,58503.0,19060.0,23598.0,44.681,55.319,-10.638,False,0.3689,-2.741,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,69143.0,23728.0,22012.0,51.876,48.124,3.752,True,0.1971,-2.067,
