cache_key,latitude,longitude,talalat
Budapest III|003|Budapest|1032|Váradi utca 15/B.(Általános Iskola),47.5445236,19.0310633,"structured: {'street': 'Váradi utca 15/B.', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1032'}"
Budapest III|003|Budapest|1033|Harrer Pál utca 7. (Általános Iskola),47.5439691,19.0451168,"structured: {'street': 'Harrer Pál utca 7', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1033'}"
Budapest III|003|Budapest|1035|Kerék utca 18-20. (Általános Iskola),47.5464498,19.0410255,"structured: {'street': 'Kerék utca 18-20', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1035'}"
"Budapest III|003|Budapest|1033|Szellő utca 9-11. (Óvoda, Általános Iskola)",47.5482241,19.0389438,"structured: {'street': 'Szellő utca 9-11', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1033'}"
Budapest III|003|Budapest|1035|Meggyfa utca 14. (Óvoda),47.548948,19.037741,"structured: {'street': 'Meggyfa utca 14', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1035'}"
Budapest III|003|Budapest|1037|Meggyfa utca 14. (Óvoda),47.548948,19.037741,"structured: {'street': 'Meggyfa utca 14', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1037'}"
Budapest III|003|Budapest|1033|Szérűskert utca 40-42. (Általános Iskola),47.5589531,19.0428613,"structured: {'street': 'Szérűskert utca 40-42', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1033'}"
Budapest III|003|Budapest|1031|Szérűskert utca 40-42. (Általános Iskola),47.5589531,19.0428613,"structured: {'street': 'Szérűskert utca 40-42', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1031|Gyógyszergyár utca 22-24. (Általános Iskola),47.5554082,19.0284118,"structured: {'street': 'Gyógyszergyár utca 22-24', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1037|Gyógyszergyár utca 22-24. (Általános Iskola),47.5554082,19.0284118,"structured: {'street': 'Gyógyszergyár utca 22-24', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1037'}"
Budapest III|003|Budapest|1031|Bécsi út 375. (Általános Iskola),47.5727777,19.0173394,"structured: {'street': 'Bécsi út 375', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1031|Keve utca 41. (Általános Iskola),47.5748411,19.0589507,"structured: {'street': 'Keve utca 41', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1031|Arató Emil tér 1. (Általános Iskola),47.5704979,19.0560319,"structured: {'street': 'Arató Emil tér 1', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1031|Arató Emil tér 2. (Óvoda),47.5698467,19.0548406,"structured: {'street': 'Arató Emil tér 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1031'}"
Budapest III|003|Budapest|1039|Keve utca 41. (Általános Iskola),47.5748411,19.0589507,"structured: {'street': 'Keve utca 41', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Hunyadi utca 8-10. (Óvoda),47.5878296,19.057097,"structured: {'street': 'Hunyadi utca 8-10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Fodros utca 38-40. (Általános Iskola),47.5888666,19.0539165,"structured: {'street': 'Fodros utca 38-40', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Királyok útja 178/E. (Általános Iskola),47.5932005,19.0658783,"structured: {'street': 'Királyok útja 178/E.', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Ürömi út 2. (Óvoda),47.5860891,19.0449935,"structured: {'street': 'Ürömi út 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1038|Ürömi út 2. (Óvoda),47.5863543,19.0435053,"structured: {'street': 'Ürömi út 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1038'}"
Budapest III|003|Budapest|1038|Dózsa György utca 42. (Általános Iskola),47.5927815,19.0459624,"structured: {'street': 'Dózsa György utca 42', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1038'}"
Budapest III|003|Budapest|1039|Bárczi Géza utca 2. (Általános Iskola),47.5950764,19.0473,"structured: {'street': 'Bárczi Géza utca 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1038|Templom utca 5. (Általános Iskola),47.6012104,19.0458793,"structured: {'street': 'Templom utca 5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1038'}"
Budapest III|003|Budapest|1039|Pais Dezső utca 1-3. (Általános Iskola),47.6014206,19.0483002,"structured: {'street': 'Pais Dezső utca 1-3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Pais Dezső utca 1-3. ((Általános Iskola),47.6014206,19.0483002,"structured: {'street': 'Pais Dezső utca 1-3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest III|003|Budapest|1039|Medgyessy Ferenc utca 2-4. (Általános Iskola),47.595884,19.0570721,"structured: {'street': 'Medgyessy Ferenc utca 2-4', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1039'}"
Budapest IV|004|Budapest|1048|Homoktövis utca 100. (Homoktövis Általános Isk.),47.5973763,19.1157066,"structured: {'street': 'Homoktövis utca 100', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1048'}"
Budapest IV|004|Budapest|1048|Bőrfestő utca 5-9. (Csokonai Gimn. és Ált. Isk.),47.5895189,19.1159594,"structured: {'street': 'Bőrfestő utca 5-9', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1048'}"
Budapest IV|004|Budapest|1048|Tóth Aladár utca 16-18. (Babits Gimnázium),47.5827087,19.1072404,"structured: {'street': 'Tóth Aladár utca 16-18', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1048'}"
Budapest IV|004|Budapest|1048|Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK),47.5810375,19.1094097,"structured: {'street': 'Hajló utca 2-8', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1048'}"
Budapest IV|004|Budapest|1048|Hajló utca 2-8. (Karinthy Ált. Isk. volt ÁMK),47.5810375,19.1094097,"structured: {'street': 'Hajló utca 2-8', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1048'}"
Budapest IV|004|Budapest|1044|Megyeri út 20. (Megyeri Általános Isk.),47.5810045,19.0880505,"structured: {'street': 'Megyeri út 20', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1044'}"
Budapest IV|004|Budapest|1046|Fóti út 66. (Angol Nyelvi Általános Isk.),47.5738055,19.102221,"structured: {'street': 'Fóti út 66', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1046'}"
Budapest IV|004|Budapest|1046|Bajza József utca 2. (Bajza Általános Isk.),47.567777,19.0993084,"structured: {'street': 'Bajza József utca 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1046'}"
Budapest IV|004|Budapest|1047|Fóti út 66. (Angol Nyelvi. Általános Isk.),47.5736788,19.1018011,"structured: {'street': 'Fóti út 66', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1047'}"
Budapest IV|004|Budapest|1047|Bajza József utca 2. (Bajza Általános Isk.),47.5667036,19.0987116,"structured: {'street': 'Bajza József utca 2', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1047'}"
Budapest IV|004|Budapest|1047|Megyeri út 20. (Megyeri Általános Isk.),47.5805723,19.0880531,"structured: {'street': 'Megyeri út 20', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1047'}"
Budapest IV|004|Budapest|1047|Langlet Waldemár utca 3-5. (Bródy Gimnázium),47.5665534,19.0840716,"structured: {'street': 'Langlet Waldemár utca 3-5', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1047'}"
