telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Deszk,3106,2588,2578,688,1687
Detek,185,144,142,77,48
Detk,920,730,723,277,386
Devecser,3402,2333,2318,997,1171
Dinnyeberki,61,42,39,20,18
Diósberény,242,175,168,76,65
Diósd,8445,7459,7421,2133,4686
Diósjenő,2224,1662,1657,783,705
Dióskál,344,244,239,131,96
Diósviszló,500,357,343,181,137
Doba,366,279,278,151,107
Doboz,3211,2406,2377,978,1183
Dobri,117,97,97,36,56
Dobronhegy,127,113,112,56,45
Domaháza,566,328,326,193,112
Domaszék,3863,3023,3002,1160,1509
Dombegyház,1395,984,975,477,414
Dombiratos,382,293,289,144,134
Dombrád,2716,1802,1794,815,879
Dombóvár,15637,12410,12350,4457,6773
Domony,1746,1390,1375,589,664
Domoszló,1534,1219,1217,464,613
Dormánd,720,526,517,241,234
Dorog,8724,6784,6751,1969,4206
Dorogháza,769,590,582,265,265
Dozmat,251,239,237,98,126
Drágszél,214,147,147,81,51
Drávacsehi,134,90,88,44,37
Drávacsepely,167,123,123,71,41
Drávafok,360,232,223,83,101
Drávagárdony,117,70,70,46,19
Drávaiványi,119,79,77,54,19
Drávakeresztúr,81,60,59,29,13
Drávapalkonya,208,138,133,60,58
Drávapiski,74,54,53,30,23
Drávaszabolcs,519,375,369,141,190
Drávaszerdahely,126,103,103,42,46
Drávasztára,284,190,186,94,66
Drávatamási,157,117,113,59,43
Drégelypalánk,1046,718,702,345,252
Dubicsány,226,193,193,60,118
Dudar,1324,1033,1022,437,491
Duka,192,146,144,77,52
Dunaalmás,1391,1106,1104,432,579
Dunabogdány,2549,2142,2124,935,883
Dunaegyháza,1196,848,848,274,518
Dunafalva,635,498,494,270,180
Dunaföldvár,6415,4911,4881,1983,2428
Dunaharaszti,17900,15014,14962,4465,9151
Dunakeszi,34643,30072,29943,7973,19669
Dunakiliti,1327,1063,1055,491,486
Dunapataj,2506,1867,1851,724,991
Dunaremete,206,184,184,70,92
Dunaszeg,1839,1576,1571,641,818
Dunaszekcső,1442,1006,970,431,360
Dunaszentbenedek,599,404,399,192,167
Dunaszentgyörgy,1897,1551,1543,746,659
Dunaszentmiklós,441,378,374,128,181
Dunaszentpál,571,487,482,171,285
Dunasziget,1247,1044,1042,513,448
Dunatetétlen,436,342,336,174,133
Dunavarsány,6879,5680,5630,1807,3345
Dunavecse,3046,2171,2151,946,1031
Dunaújváros,34814,27776,27660,8004,17406
Dusnok,2234,1804,1788,831,734
Dág,744,608,607,223,303
Dáka,346,284,284,120,140
Dámóc,243,169,167,91,64
Dánszentmiklós,2131,1608,1604,712,718
Dány,3563,2777,2751,1413,1120
Dávod,1462,1007,998,492,409
Dédestapolcsány,1053,810,807,260,464
Dég,1592,1133,1125,584,438
Délegyháza,4450,3606,3592,1188,2113
Dénesfa,316,246,244,118,108
Dévaványa,5307,3910,3888,1800,1772
Dóc,558,418,416,183,189
Döbröce,57,49,49,25,19
Döbrököz,1429,1004,997,486,370
Döbrönte,217,197,188,70,91
Döbörhegy,124,98,98,62,31
Döge,1656,1174,1167,510,611
Dömsöd,4757,3531,3521,1635,1568
Dömös,926,726,719,306,350
Dör,478,402,400,211,167
Dörgicse,223,189,188,66,103
Döröske,94,77,76,38,33
Dötk,25,21,21,8,12
Dövény,211,166,160,87,53
Dúzs,194,133,131,63,58
Ebergőc,125,104,103,53,37
Ebes,3742,3066,3049,1088,1680
Ecseg,866,618,615,340,214
Ecsegfalva,856,592,589,280,260
Ecseny,130,102,102,72,17
Ecser,3244,2748,2740,878,1616
Ecséd,2536,1969,1953,814,968
Edde,128,85,85,57,22
